plz,dist_transit_m,dist_park_m,dist_water_m,dist_school_m,count_food_500m,count_shop_500m,count_food_1000m,count_shop_1000m,count_transit_1000m,ndvi_mean,ndvi_std,ndvi_median,ndwi_mean,ndwi_std,ndwi_median,ndbi_mean,ndbi_std,ndbi_median
10115,133.96707626877438,341.04263266704885,509.7701509463425,305.9918753655488,55,10,222,26,5,0.2000431567373469,0.14723470837424688,0.15069283545017242,-0.20165392817283162,0.13003430999768828,-0.1676015555858612,-0.015676481387530684,0.10454604687407384,-0.005808268208056688
10117,92.56359753527636,200.27741217225585,226.9333468492284,311.59181090898727,81,3,302,18,12,0.08848369040912173,0.09213249953377103,0.06026151403784752,-0.10143701981525031,0.09118813472168003,-0.08140729367733002,0.040426544679789116,0.08644126449630953,0.04471002519130707
10119,298.73989582591093,306.27850426672563,272.0563287692306,109.726112514453,121,23,415,64,4,0.18974419778416698,0.13683344775314135,0.14469093084335327,-0.20141660706601427,0.1198824310756082,-0.1712752729654312,-0.00983721951843752,0.09957430144321437,0.002848035888746381
10178,105.30218390896022,174.09903778194249,156.6096071213087,300.94282544667254,89,17,266,41,10,0.12814200670952366,0.12272030043677405,0.07870753854513168,-0.1438528117827085,0.11190574187150851,-0.1083391010761261,0.014702977360905829,0.09238407738008064,0.023318659514188766
10179,186.01313491798717,190.67445292552816,333.1150393723786,357.0337352469884,35,6,122,22,6,0.17914337376408485,0.15084352922623936,0.12999200820922852,-0.17813425889452228,0.1374022949785224,-0.14553073048591614,-0.019217214778977997,0.10675616482211078,-0.008983401581645012
10243,334.69287794483233,92.95283017053497,464.054339556363,243.5180520080672,7,7,94,27,4,0.21545528610587972,0.15553702052109322,0.18002769351005554,-0.21593068362864504,0.1384241225414269,-0.19217386841773987,-0.04045780899269783,0.10380925894546342,-0.025346890091896057
10245,776.0710481538921,74.94665138115657,451.74680074251154,246.60079640594785,8,6,133,44,5,0.15554243216485333,0.1535785253274183,0.10912416875362396,-0.15497384719507817,0.1491245362767754,-0.12560856342315674,-0.019201570215441797,0.0944370511042486,-0.01623198203742504
10247,121.13656110295572,295.06480254996166,910.1754486834844,139.1470138700069,77,31,265,99,3,0.18601641212855502,0.11795640540736016,0.15410573780536652,-0.19552371806558436,0.10395904892785546,-0.17166714370250702,-0.00594453488159958,0.09030229208871277,0.001416653860360384
10249,794.939506171726,218.60397811614916,597.0448791623909,171.54338972904773,11,6,64,30,1,0.2957253734245373,0.1755941587760603,0.2756892144680023,-0.2828183185083886,0.15042082332024187,-0.27138182520866394,-0.07539352490969475,0.11751004096412199,-0.07282166928052902
10315,1322.489444307192,452.2704607320368,286.3417014811658,714.8099988826398,2,0,11,1,0,0.39830640358076236,0.14651829036139122,0.43258386850357056,-0.3748538393198623,0.1240593178117367,-0.40263259410858154,-0.13373794049890841,0.09911384785376073,-0.14509737491607666
