plz,dist_transit_m,dist_park_m,dist_water_m,dist_school_m,count_food_500m,count_shop_500m,count_food_1000m,count_shop_1000m,count_transit_1000m
10115,133.96707626877438,341.04263266704885,509.7701509463425,305.99187536554876,55,10,222,26,5
10117,92.56359753527637,200.27741217225585,226.9333468492284,311.59181090898727,81,3,302,18,12
10119,298.73989582591093,306.27850426672563,272.0563287692306,109.726112514453,121,23,415,64,4
10178,105.30218390896022,174.09903778194249,156.6096071213087,300.94282544667254,89,17,266,41,10
10179,186.01313491798714,190.67445292552816,333.1150393723786,357.0337352469884,35,6,122,22,6
10243,334.69287794483233,92.95283017053495,464.054339556363,243.51805200806717,7,7,94,27,4
10245,776.0710481538921,74.94665138115657,451.74680074251154,246.60079640594782,8,6,133,44,5
10247,121.13656110295571,295.06480254996166,910.1754486834844,139.1470138700069,77,31,265,99,3
10249,794.939506171726,218.60397811614914,597.0448791623909,171.54338972904773,11,6,64,30,1
10315,1322.4894443071921,452.2704607320368,286.3417014811658,714.8099988826398,2,0,11,1,0
10317,475.4401795699444,255.16088789004272,564.1407049240551,271.5672227534991,1,1,20,10,1
10318,297.82869249932645,116.17058010350365,497.29926955616946,253.39155827258094,15,3,21,3,1
10319,315.5918069289374,107.28222115634571,175.72173539389533,357.0147875204909,5,2,14,6,2
10365,1058.9828327913453,324.17853480707595,667.6777111104526,231.9979193046332,0,0,20,9,0
10367,1236.3730648225649,202.19909960315718,642.8102920034862,165.48132133837424,8,2,26,10,0
10369,1031.789320743112,187.29619359948867,390.69522218093806,234.5613691073667,7,2,17,8,0
10405,949.6187879136595,385.3028822689299,613.1456710362089,0.8564974359707012,97,20,274,57,1
10407,647.8203222773565,491.55659603713815,1141.9625178160788,138.68689773984545,4,2,22,12,2
10409,490.4963429976891,230.79794880899226,777.7036342213413,147.92532986444135,7,9,32,26,1
10435,496.3955566294095,316.83939179859743,679.1587955237892,158.704260156948,116,21,421,80,3
10437,410.68307045853186,408.6099801196556,619.7393597671713,40.28355199445651,94,22,318,80,3
10439,453.4171596838187,98.52248623166821,722.3965596908447,87.64778975940499,52,18,140,47,4
10551,370.775513779126,122.25159953005247,727.9547166898885,151.7807307921626,34,10,115,49,5
10553,771.0664055637201,287.91767459769625,504.05088330592207,202.87722899742346,17,6,81,29,1
10555,488.34323506894657,159.96156925420127,166.51502753153164,81.73638059145077,20,5,127,34,3
10557,414.11587695798113,202.6674811382376,372.99276400063064,378.814711995224,16,2,60,14,2
10559,607.7534673392012,482.78726907183335,433.93513639161637,159.81978655431732,29,13,101,35,4
10585,131.95182627877358,196.96649536327607,670.5444530028843,191.72622689600215,38,16,167,43,4
10587,713.5308677407031,66.17305670328929,432.0065202493171,222.30999972912971,22,5,100,18,3
10589,155.0036100982721,164.53471088291346,153.7384383143562,200.64882540202638,18,4,42,6,2
10623,361.86497446112327,100.50348576537242,87.10859337781696,426.9570232357176,78,3,321,21,6
10625,364.62765875001276,311.85051424083815,568.1787837538969,132.75219904802785,74,16,354,57,5
10627,286.878826039443,326.20809962986345,925.5450285930962,59.79808846959547,139,25,330,59,6
10629,282.4651205867586,347.68104612317615,1046.4419364010198,230.41254287601004,100,17,375,58,4
10707,365.20494617490226,184.32627360179129,237.33378915010758,60.159563149955005,38,7,242,29,4
10709,421.90101947510436,194.35554377781287,777.9511092169753,206.1769957513641,15,4,125,24,4
10711,140.1906064111384,275.0979297870843,721.4621749701062,125.1323786176851,22,1,63,11,2
10713,564.025128753432,444.5432553134573,198.13964294106356,270.20011938141744,8,0,56,19,3
10715,500.53029444218896,205.6409126530376,440.0109070471661,74.71093313832179,27,6,114,26,5
10717,229.53815507538533,409.27699976826335,409.3726649117155,142.79490752078976,44,12,170,32,7
10719,444.3151806778469,110.43480700771954,365.35347739590304,156.39695933091102,105,8,383,37,7
10777,160.09812641626604,209.9183833205918,209.90262088405308,84.237485759168,61,7,241,35,6
10779,355.6996292552806,137.28270837816683,287.9440044575668,177.1506474415195,33,5,189,33,7
10781,489.62909564620634,151.50504612941646,796.9965803538093,36.29338409849607,74,7,243,57,6
10783,168.45744309870983,103.2404085237765,265.5047455845177,12.484990889769332,37,14,158,38,6
10785,592.195068415871,127.27720758915406,87.39293186710447,279.72941159289445,25,4,106,24,5
10787,578.517949171698,251.4485455332269,32.24598053778749,698.4420393045386,39,3,157,14,6
10789,216.8237199365,514.5197194220137,316.64011548487076,112.54596022287811,91,9,263,25,8
10823,337.74099932917625,231.24037453325775,582.7114970668133,116.82657897352746,70,22,201,53,6
10825,111.78452488925042,163.0324995286567,116.87491230863418,47.39321421621005,20,4,117,37,6
10827,524.7048487864863,192.69479951764367,702.8090273665174,41.66292160817095,68,22,168,50,5
10829,429.00361879805587,216.93761513686675,687.8480744602597,200.76029954101617,12,3,53,20,4
10961,143.31407692677493,240.70413162247306,611.6876949247093,16.327110119915837,62,12,164,37,6
10963,139.38558773377008,167.8085141634291,347.481311075012,125.53206036203021,19,5,112,27,9
10965,98.90041545867507,187.7628988547985,366.0976008063443,101.2697747525663,55,10,155,33,4
10967,542.5845178051941,337.14933391255187,519.9253516541761,113.4818861927237,71,16,246,67,3
10969,502.2920254505748,107.4856511335792,595.5621962581183,148.1104290740309,17,10,120,31,5
10997,413.9187089551437,201.4644452279295,600.9655825433714,29.766168695251025,83,16,271,60,2
10999,357.1901231722037,208.81265592885458,496.16917211912147,90.54296568498965,121,32,348,78,3
12043,275.47168889018417,462.92518693084037,485.41758876253385,265.7476790863265,79,31,227,89,4
12045,545.5403130274459,268.3393301185459,661.8640866607705,82.47111162822425,56,19,204,72,1
12047,613.8366455712573,196.06423697534913,166.83982382286752,112.12588052417922,98,26,308,85,3
12049,330.9717307668055,44.842977280451926,451.9906145839595,32.64570073279821,56,21,128,54,4
12051,172.52211935356544,476.1716154151347,315.19421606103305,173.6750799138251,49,15,98,43,4
12053,478.45290714654493,247.44724932992273,703.7624022021472,159.92818225623628,48,29,244,96,4
12055,361.7682435758412,405.23904718908375,409.2904425815227,13.072317690287719,26,12,88,38,3
12057,1420.8295575559423,385.631658268102,412.16174464842925,124.76316790408454,4,4,19,5,0
12059,875.511569000699,189.37640314994925,187.15868997336224,104.23653692271746,14,6,103,38,1
12099,1203.3273401094016,554.4762027654616,481.7696095608106,673.345714327661,2,1,5,3,0
12101,362.3026927187591,26.687933563149993,453.7842714994519,361.418480093421,1,0,19,10,3
12103,873.3730119975967,443.59139023950877,292.1965815516546,272.2449332569422,2,2,27,11,2
12105,781.7650064563604,213.9879514762116,634.5036192760682,68.58327840349186,3,1,16,8,2
12107,1409.0530700112167,518.9518447016526,400.4173742204419,519.270447787831,4,2,8,4,0
12109,945.1761790554095,546.0467878062478,579.1905566199438,141.53169692495388,4,1,16,8,1
12157,647.4381856327221,214.4794905540705,304.5798020151194,144.4201360887319,10,1,43,11,3
12159,452.82275932908095,301.1323824376218,1067.921111947514,85.5326911936545,26,9,90,26,5
12161,242.2748247668441,136.26192011142385,787.9872045952307,28.8141015017172,40,10,130,34,6
12163,466.98633227237076,244.75963098665252,604.2799376301774,191.43432869582094,32,8,122,28,5
12165,434.2058534722024,151.67110064089115,216.72484565554163,58.127899367541445,11,5,80,18,2
12167,1260.9044909046759,151.03818087667312,8.687071433178097,115.24640360436464,14,5,34,15,0
12169,915.0688626302609,391.43904817849483,463.8951557909155,202.11126099892292,5,5,27,12,1
12203,637.9652763741929,265.84665445192127,445.67514825158815,174.79853967189877,7,3,29,6,1
12205,1810.620634412696,368.5641283052261,581.988777423974,38.82197395660332,5,0,12,2,0
12207,1217.0693697524114,460.58911100039757,287.52582783050406,311.9133731859967,4,1,10,5,0
12209,1384.0884672286084,363.449239253014,409.07203926459556,272.67760702347016,2,0,13,1,0
12247,1122.2427720239878,229.26048755557528,206.45939978183029,274.35024588298955,12,3,19,3,0
